[2022-07-18 19:44:50.590] [main] [info] update#ctor - updates are disabled as there is no update URL
[2022-07-18 19:44:53.904] [main] [info] Starting extension host with pid 3183 (fork() took 25 ms).
[2022-07-18 20:24:14.064] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 20:26:17.657] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 20:50:08.752] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 20:55:15.213] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 20:55:22.498] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 21:06:47.987] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 21:52:19.149] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 22:00:53.784] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 22:36:59.463] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 22:37:37.022] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 23:06:13.096] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 23:06:32.996] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-18 23:18:42.624] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2022-07-19 00:21:11.639] [main] [info] Waiting for extension host with pid 3183 to exit.
[2022-07-19 00:21:11.691] [main] [info] Extension host with pid 3183 exited with code: 0, signal: null.
